Sample,Time,Decoder,Ann Row,Ann Class,Value,
38822,1.941 s,Timing,Times,Time,3.100 ms (322.581 Hz),
38884,1.944 s,Timing,Times,Time,1.300 ms (769.231 Hz),
38910,1.946 s,Timing,Times,Time,3.000 ms (333.333 Hz),
38970,1.948 s,Timing,Times,Time,1.300 ms (769.231 Hz),
38996,1.950 s,Timing,Times,Time,1.350 ms (740.741 Hz),
39023,1.951 s,Timing,Times,Time,1.250 ms (800.000 Hz),
39048,1.952 s,Timing,Times,Time,1.350 ms (740.741 Hz),
39075,1.954 s,Timing,Times,Time,1.300 ms (769.231 Hz),
39101,1.955 s,Timing,Times,Time,57.500 ms (17.391 Hz),
40251,2.013 s,Timing,Times,Time,2.650 ms (377.358 Hz),
40304,2.015 s,Timing,Times,Time,2.700 ms (370.370 Hz),
40358,2.018 s,Timing,Times,Time,1.350 ms (740.741 Hz),
40385,2.019 s,Timing,Times,Time,3.000 ms (333.333 Hz),
40445,2.022 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40471,2.024 s,Timing,Times,Time,1.350 ms (740.741 Hz),
40498,2.025 s,Timing,Times,Time,1.250 ms (800.000 Hz),
40523,2.026 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40549,2.027 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40575,2.029 s,Timing,Times,Time,3.050 ms (327.869 Hz),
40636,2.032 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40662,2.033 s,Timing,Times,Time,3.050 ms (327.869 Hz),
40723,2.036 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40749,2.037 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40775,2.039 s,Timing,Times,Time,1.350 ms (740.741 Hz),
40802,2.040 s,Timing,Times,Time,1.200 ms (833.333 Hz),
40826,2.041 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40852,2.043 s,Timing,Times,Time,1.350 ms (740.741 Hz),
40879,2.044 s,Timing,Times,Time,1.250 ms (800.000 Hz),
40904,2.045 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40930,2.046 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40956,2.048 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40982,2.049 s,Timing,Times,Time,1.300 ms (769.231 Hz),
41008,2.050 s,Timing,Times,Time,1.300 ms (769.231 Hz),
41034,2.052 s,Timing,Times,Time,1.350 ms (740.741 Hz),
41061,2.053 s,Timing,Times,Time,2.950 ms (338.983 Hz),
41120,2.056 s,Timing,Times,Time,1.350 ms (740.741 Hz),
41147,2.057 s,Timing,Times,Time,3.100 ms (322.581 Hz),
41209,2.060 s,Timing,Times,Time,1.250 ms (800.000 Hz),
41234,2.062 s,Timing,Times,Time,3.100 ms (322.581 Hz),
41296,2.065 s,Timing,Times,Time,1.300 ms (769.231 Hz),
41322,2.066 s,Timing,Times,Time,1.200 ms (833.333 Hz),
41346,2.067 s,Timing,Times,Time,1.350 ms (740.741 Hz),
41373,2.069 s,Timing,Times,Time,1.250 ms (800.000 Hz),
41398,2.070 s,Timing,Times,Time,1.350 ms (740.741 Hz),
