Sample,Time,Decoder,Ann Row,Ann Class,Value,
139339,6.967 s,Timing,Times,Time,1.250 ms (800.000 Hz),
139364,6.968 s,Timing,Times,Time,1.050 ms (952.381 Hz),
139385,6.969 s,Timing,Times,Time,1.250 ms (800.000 Hz),
139410,6.971 s,Timing,Times,Time,2.850 ms (350.877 Hz),
139467,6.973 s,Timing,Times,Time,1.250 ms (800.000 Hz),
139492,6.975 s,Timing,Times,Time,2.850 ms (350.877 Hz),
139549,6.977 s,Timing,Times,Time,1.250 ms (800.000 Hz),
139574,6.979 s,Timing,Times,Time,2.800 ms (357.143 Hz),
139630,6.981 s,Timing,Times,Time,1.250 ms (800.000 Hz),
139655,6.983 s,Timing,Times,Time,1.100 ms (909.091 Hz),
139677,6.984 s,Timing,Times,Time,1.250 ms (800.000 Hz),
139702,6.985 s,Timing,Times,Time,1.050 ms (952.381 Hz),
139723,6.986 s,Timing,Times,Time,1.250 ms (800.000 Hz),
139748,6.987 s,Timing,Times,Time,57.400 ms (17.422 Hz),
140896,7.045 s,Timing,Times,Time,2.600 ms (384.615 Hz),
140948,7.047 s,Timing,Times,Time,2.550 ms (392.157 Hz),
140999,7.050 s,Timing,Times,Time,1.200 ms (833.333 Hz),
141023,7.051 s,Timing,Times,Time,2.850 ms (350.877 Hz),
141080,7.054 s,Timing,Times,Time,1.250 ms (800.000 Hz),
141105,7.055 s,Timing,Times,Time,1.100 ms (909.091 Hz),
141127,7.056 s,Timing,Times,Time,1.200 ms (833.333 Hz),
141151,7.058 s,Timing,Times,Time,1.100 ms (909.091 Hz),
141173,7.059 s,Timing,Times,Time,1.250 ms (800.000 Hz),
141198,7.060 s,Timing,Times,Time,2.800 ms (357.143 Hz),
141254,7.063 s,Timing,Times,Time,1.300 ms (769.231 Hz),
141280,7.064 s,Timing,Times,Time,2.850 ms (350.877 Hz),
141337,7.067 s,Timing,Times,Time,1.250 ms (800.000 Hz),
141362,7.068 s,Timing,Times,Time,1.000 ms (1.000 kHz),
141382,7.069 s,Timing,Times,Time,1.300 ms (769.231 Hz),
141408,7.070 s,Timing,Times,Time,1.050 ms (952.381 Hz),
141429,7.071 s,Timing,Times,Time,1.200 ms (833.333 Hz),
141453,7.073 s,Timing,Times,Time,1.100 ms (909.091 Hz),
141475,7.074 s,Timing,Times,Time,1.250 ms (800.000 Hz),
141500,7.075 s,Timing,Times,Time,1.050 ms (952.381 Hz),
141521,7.076 s,Timing,Times,Time,1.250 ms (800.000 Hz),
141546,7.077 s,Timing,Times,Time,1.050 ms (952.381 Hz),
141567,7.078 s,Timing,Times,Time,1.250 ms (800.000 Hz),
141592,7.080 s,Timing,Times,Time,1.050 ms (952.381 Hz),
141613,7.081 s,Timing,Times,Time,1.300 ms (769.231 Hz),
141639,7.082 s,Timing,Times,Time,2.800 ms (357.143 Hz),
141695,7.085 s,Timing,Times,Time,1.300 ms (769.231 Hz),
141721,7.086 s,Timing,Times,Time,2.800 ms (357.143 Hz),
141777,7.089 s,Timing,Times,Time,1.250 ms (800.000 Hz),
141802,7.090 s,Timing,Times,Time,2.850 ms (350.877 Hz),
141859,7.093 s,Timing,Times,Time,1.250 ms (800.000 Hz),
141884,7.094 s,Timing,Times,Time,1.050 ms (952.381 Hz),
141905,7.095 s,Timing,Times,Time,1.250 ms (800.000 Hz),
141930,7.096 s,Timing,Times,Time,1.050 ms (952.381 Hz),
141951,7.098 s,Timing,Times,Time,1.250 ms (800.000 Hz),
141976,7.099 s,Timing,Times,Time,57.400 ms (17.422 Hz),
143124,7.156 s,Timing,Times,Time,2.600 ms (384.615 Hz),
143176,7.159 s,Timing,Times,Time,2.500 ms (400.000 Hz),
143226,7.161 s,Timing,Times,Time,1.300 ms (769.231 Hz),
143252,7.163 s,Timing,Times,Time,2.800 ms (357.143 Hz),
143308,7.165 s,Timing,Times,Time,1.250 ms (800.000 Hz),
143333,7.167 s,Timing,Times,Time,1.100 ms (909.091 Hz),
143355,7.168 s,Timing,Times,Time,1.200 ms (833.333 Hz),
143379,7.169 s,Timing,Times,Time,1.100 ms (909.091 Hz),
143401,7.170 s,Timing,Times,Time,1.250 ms (800.000 Hz),
143426,7.171 s,Timing,Times,Time,2.850 ms (350.877 Hz),
143483,7.174 s,Timing,Times,Time,1.200 ms (833.333 Hz),
143507,7.175 s,Timing,Times,Time,2.850 ms (350.877 Hz),
143564,7.178 s,Timing,Times,Time,1.250 ms (800.000 Hz),
143589,7.179 s,Timing,Times,Time,1.050 ms (952.381 Hz),
143610,7.181 s,Timing,Times,Time,1.250 ms (800.000 Hz),
143635,7.182 s,Timing,Times,Time,1.100 ms (909.091 Hz),
143657,7.183 s,Timing,Times,Time,1.200 ms (833.333 Hz),
143681,7.184 s,Timing,Times,Time,1.100 ms (909.091 Hz),
143703,7.185 s,Timing,Times,Time,1.250 ms (800.000 Hz),
143728,7.186 s,Timing,Times,Time,1.050 ms (952.381 Hz),
143749,7.187 s,Timing,Times,Time,1.250 ms (800.000 Hz),
143774,7.189 s,Timing,Times,Time,1.050 ms (952.381 Hz),
143795,7.190 s,Timing,Times,Time,1.250 ms (800.000 Hz),
