"Sample","Time","Decoder","Ann Row","Ann Class","Value",
"34456","1.723 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"34479","1.724 s","Timing","Times","Time","57.300 ms (17.452 Hz)",
"35625","1.781 s","Timing","Times","Time","2.550 ms (392.157 Hz)",
"35676","1.784 s","Timing","Times","Time","2.600 ms (384.615 Hz)",
"35728","1.786 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"35751","1.788 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"35809","1.790 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"35832","1.792 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"35855","1.793 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"35878","1.794 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"35901","1.795 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"35924","1.796 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"35982","1.799 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"36005","1.800 s","Timing","Times","Time","2.850 ms (350.877 Hz)",
"36062","1.803 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"36085","1.804 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"36108","1.805 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"36131","1.807 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"36154","1.808 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"36177","1.809 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"36201","1.810 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"36224","1.811 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"36247","1.812 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"36270","1.813 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"36293","1.815 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"36316","1.816 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"36339","1.817 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"36362","1.818 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"36420","1.821 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"36442","1.822 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"36466","1.823 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"36489","1.824 s","Timing","Times","Time","2.850 ms (350.877 Hz)",
"36546","1.827 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"36570","1.829 s","Timing","Times","Time","2.850 ms (350.877 Hz)",
"36627","1.831 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"36650","1.833 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"36673","1.834 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"36697","1.835 s","Timing","Times","Time","57.300 ms (17.452 Hz)",
"37843","1.892 s","Timing","Times","Time","2.550 ms (392.157 Hz)",
"37894","1.895 s","Timing","Times","Time","2.550 ms (392.157 Hz)",
"37945","1.897 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"37969","1.898 s","Timing","Times","Time","2.850 ms (350.877 Hz)",
"38026","1.901 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"38050","1.903 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"38072","1.904 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"38095","1.905 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"38118","1.906 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"38141","1.907 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"38199","1.910 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"38223","1.911 s","Timing","Times","Time","2.850 ms (350.877 Hz)",
"38280","1.914 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"38303","1.915 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"38326","1.916 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"38349","1.917 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"38372","1.919 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"38395","1.920 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"38418","1.921 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"38442","1.922 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"38464","1.923 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"38488","1.924 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"38510","1.925 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"38534","1.927 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"38556","1.928 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"38580","1.929 s","Timing","Times","Time","2.850 ms (350.877 Hz)",
"38637","1.932 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"38661","1.933 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"38683","1.934 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"38707","1.935 s","Timing","Times","Time","2.850 ms (350.877 Hz)",
"38764","1.938 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"38787","1.939 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"38845","1.942 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"38868","1.943 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"38891","1.945 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"38914","1.946 s","Timing","Times","Time","57.300 ms (17.452 Hz)",
"40060","2.003 s","Timing","Times","Time","2.600 ms (384.615 Hz)",
"40112","2.006 s","Timing","Times","Time","2.550 ms (392.157 Hz)",
"40163","2.008 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"40186","2.009 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"40244","2.012 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"40267","2.013 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"40290","2.014 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"40313","2.016 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"40336","2.017 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"40359","2.018 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"40417","2.021 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"40440","2.022 s","Timing","Times","Time","2.850 ms (350.877 Hz)",
"40497","2.025 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"40521","2.026 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"40543","2.027 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"40567","2.028 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"40589","2.029 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"40613","2.031 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"40636","2.032 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"40659","2.033 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"40682","2.034 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"40705","2.035 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"40728","2.036 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"40751","2.038 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"40774","2.039 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"40797","2.040 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"40855","2.043 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
